path	flow	name	node_id
1:1:492	1.20E-05	309526	309526
1:1:493	1.20E-05	200716	200716
1:1:494	1.06E-05	6017	6017
1:1:495	1.06E-05	212668	212668
1:1:496	1.06E-05	160391	160391
1:1:497	1.06E-05	96512	96512
1:1:498	1.06E-05	446340	446340
1:1:499	1.06E-05	315547	315547
1:1:500	1.06E-05	93441	93441
1:1:501	1.06E-05	265946	265946
1:1:502	1.06E-05	35923	35923
1:1:503	1.06E-05	104569	104569
1:1:504	1.06E-05	554	554
1:1:505	1.06E-05	312791	312791
1:1:506	1.06E-05	169690	169690
1:1:507	1.06E-05	369460	369460
1:1:508	1.06E-05	2292894	2292894
1:1:509	1.06E-05	295820	295820
1:1:510	1.06E-05	177285	177285
1:1:511	1.06E-05	268459	268459
1:1:512	1.06E-05	184581	184581
1:1:513	1.06E-05	325037	325037
1:1:514	1.06E-05	113889	113889
1:1:515	1.06E-05	114444	114444
1:1:516	1.06E-05	816000	816000
1:1:517	1.06E-05	358719	358719
1:1:518	1.06E-05	191499	191499
1:1:519	1.06E-05	431012	431012
1:1:520	1.06E-05	199294	199294
1:1:521	1.06E-05	687763	687763
1:1:522	1.06E-05	206918	206918
1:1:523	1.06E-05	375447	375447
1:1:524	1.06E-05	398328	398328
1:1:525	1.06E-05	227008	227008
1:1:526	1.06E-05	505276	505276
1:1:527	9.31E-06	445493	445493
1:1:528	9.31E-06	361092	361092
