Source Target Weight
164792 712066 29
10804 49572 29
214640 49572 29
49572 458855 29
712066 382466 29
259708 148200 29
259708 441948 29
85648 37054 29
186260 19930 29
208560 109322 29
169688 54140 29
204666 251647 29
897927 81447 29
2570623 1035774 29
23636 165143 29
477760 477446 29
461022 315351 29
130970 109322 29
301420 405639 29
97375 303356 29
292753 972359 29
1852803 2508045 29
317588 425826 29
109609 425826 29
383094 411075 29
250291 397450 28
165445 28372 28
165445 202280 28
434359 169843 28
434359 12852 28
444562 67095 28
12852 353309 28
371959 410407 28
371959 122757 28
432674 301325 28
307171 189667 28
307171 366315 28
307171 369556 28
307171 171137 28
163608 225990 28
163608 362133 28
180681 283423 28
180681 193426 28
195792 133769 28
406150 221082 28
406150 448720 28
406150 246744 28
277693 17077 28
301325 434479 28
273946 70734 28
47833 168856 28
93696 453052 28
157744 63899 28
404907 109138 28
82628 435488 28
122757 314698 28
92954 431768 28
83027 175578 28
83027 210816 28
462828 57484 28
314698 298693 28
33168 265751 28
33168 60920 28
164484 28372 28
50197 159172 28
180379 93396 28
180379 193426 28
374035 298693 28
374035 410407 28
49572 345158 28
55278 258409 28
55278 254083 28
259708 454904 28
259708 434479 28
259708 445495 28
259708 140865 28
171130 132873 28
202280 258409 28
382795 310066 28
98521 17077 28
504735 475750 28
187200 331149 28
431753 225169 28
431753 699053 28
431753 19033 28
431753 292753 28
287832 307360 28
208560 133769 28
169688 118065 28
54140 262772 28
897927 644232 28
122039 204997 28
204997 309644 28
380474 319455 28
284000 277800 28
380880 427304 28
40115 109322 28
40115 133769 28
118065 80336 28
130970 245249 28
130970 80336 28
28351 667402 28
71834 678740 28
1032919 1035774 28
268109 49572 27
250291 127261 27
250291 294668 27
250291 304957 27
250291 109138 27
165445 88036 27
165445 362133 27
165445 334632 27
165445 416091 27
444562 404310 27
444562 394628 27
12852 180379 27
294668 409056 27
110898 321451 27
371959 51948 27
169843 165975 27
169843 225990 27
307171 381220 27
307171 381324 27
307171 283914 27
192358 345158 27
180681 366315 27
195792 169688 27
406150 454690 27
237487 252668 27
315203 242693 27
306228 455426 27
150286 73141 27
347324 79440 27
16 390071 27
16 398876 27
16 193426 27
359327 14308 27
226055 103107 27
226055 92954 27
273946 23046 27
273946 419290 27
41599 157247 27
222880 82628 27
307519 109322 27
275897 233210 27
157744 194415 27
157744 164484 27
82628 64073 27
82628 341561 27
327152 52351 27
417781 57484 27
38145 410407 27
314698 28372 27
57484 30844 27
164792 55278 27
453333 98521 27
355797 132873 27
50197 28372 27
168856 43033 27
334839 159172 27
214640 712066 27
51948 233210 27
435488 49572 27
49572 254083 27
159172 384839 27
342143 118674 27
55057 148200 27
67095 286671 27
67095 251481 27
118674 434479 27
259708 409789 27
98521 251913 27
116368 300745 27
469427 474938 27
397572 209117 27
431753 458076 27
431753 197493 27
431753 1852803 27
751903 975036 27
364448 73141 27
310723 298 27
380026 222678 27
54140 130970 27
452617 455426 27
163302 213686 27
204997 20594 27
380474 245249 27
20594 130970 27
284000 242693 27
91915 429908 27
498852 477446 27
130970 368951 27
362146 429908 27
97375 1032919 27
97375 1035774 27
120116 479640 27
679902 19495 27
292753 174746 27
292753 1223610 27
1852803 667402 27
383094 87606 27
268109 410407 26
250291 63899 26
250291 258409 26
250291 384839 26
250291 254083 26
250291 422063 26
165445 413071 26
165445 46969 26
165445 36944 26
165445 309240 26
165445 193426 26
165445 298693 26
165445 55278 26
444562 311008 26
444562 158633 26
294668 490784 26
294668 211676 26
371959 211676 26
432674 157247 26
432674 85648 26
211092 298693 26
307171 146930 26
307171 298693 26
307171 462828 26
192358 165975 26
180681 390071 26
256 380474 26
195792 208560 26
375007 193720 26
237487 835 26
237487 171130 26
315203 308152 26
150286 364448 26
277693 375528 26
277693 251481 26
321451 398876 26
273946 251913 26
448720 92954 26
448720 146587 26
14308 22805 26
93696 2367 26
93696 265751 26
307519 20594 26
275897 369556 26
275897 122757 26
275897 334839 26
275897 10804 26
157744 462828 26
206582 348706 26
404907 292751 26
82628 297823 26
82628 376576 26
