"Id","path1","is_PE","old_path1","in_orig","old_comm","old_comm.is_PE","path1.is_PE","Community","Degree","Betweenness","PageRank","Bridge"
1978555,3,FALSE,NA,FALSE,NA,"NA FALSE","3 FALSE",NA,11,47.5531300398948,1.75606956605115e-05,0
197862,2,FALSE,NA,FALSE,NA,"NA FALSE","2 FALSE","Pro-vaccine",27,31.5821251847568,2.67814174770989e-05,0
197953,2,NA,NA,FALSE,NA,"NA NA","2 NA","Pro-vaccine",13,452.166666666667,2.52355981896722e-05,0
1979793,3,FALSE,3,TRUE,"micro","micro FALSE","3 FALSE",NA,99,327.919293468829,4.54273729805403e-05,0
1979895,3,FALSE,NA,FALSE,NA,"NA FALSE","3 FALSE",NA,31,181.323244239421,2.60114311462575e-05,0
197993,6,FALSE,11,TRUE,"micro","micro FALSE","6 FALSE",NA,8,15137.3333333333,6.29722086674317e-05,0
198001,1,FALSE,1,TRUE,"Anti-vaccine","Anti-vaccine FALSE","1 FALSE","Anti-vaccine",15,1433.90395103454,1.85021370342311e-05,0
198047,2,FALSE,NA,FALSE,NA,"NA FALSE","2 FALSE","Pro-vaccine",14,79903.5,0.000222054237206562,0
198087,1,FALSE,1,TRUE,"Anti-vaccine","Anti-vaccine FALSE","1 FALSE","Anti-vaccine",125,7439.3960678211,0.000132173292008237,6
198138,2,NA,2,TRUE,"Pro-vaccine","Pro-vaccine NA","2 NA","Pro-vaccine",30,257.279255714423,2.7762882461168e-05,0
